tract_index,dist_to_nearest_h2s_km,dist_to_top_closure_beach_km,h2s_proximity_category
106,8.393096317208167,5.222092581167855,5-10 km
107,9.992521781937496,6.041172577132257,5-10 km
108,10.643357012334194,6.151952593564356,10+ km
109,4.411009841819966,8.104490455665367,3-5 km
110,4.18877041177514,8.04056942037334,3-5 km
111,6.9217784658731665,10.320631624320916,5-10 km
112,5.504518424459042,9.759778656116486,5-10 km
113,7.03035064189951,8.156232556410545,5-10 km
114,7.91615791955834,10.060615935296848,5-10 km
115,13.38298614811484,12.065284870061447,10+ km
116,12.579392802475592,11.146178492286563,10+ km
117,11.433303633456996,9.506868265571214,10+ km
118,10.629771037653045,9.194326452367605,10+ km
119,15.86092991665565,9.664758242083021,10+ km
120,2.7659226579669776,1.2381476893530705,1-3 km
121,1.1387821676948084,0.8760314391696137,1-3 km
122,21.177213896502554,14.878840360371349,10+ km
123,21.437450526124714,15.268132017429641,10+ km
124,19.143646146366663,12.834727867354115,10+ km
125,14.917058660292227,8.851951299257832,10+ km
126,14.529227070187115,8.286108190810749,10+ km
127,15.430331027164272,9.152518276323713,10+ km
128,15.13821327175683,8.9682927365345,10+ km
129,16.39609439391312,10.135195215817122,10+ km
130,16.52551393837534,10.290540246295542,10+ km
131,14.488790880833363,8.641059287723195,10+ km
132,18.75197337146518,12.85106503244894,10+ km
133,14.515426200495506,8.935510527694959,10+ km
134,15.038083569780175,8.911716248599678,10+ km
135,18.693228286732403,12.855363932287595,10+ km
136,19.163803495713694,12.922438259007466,10+ km
137,11.191888057709342,15.415463877591781,10+ km
138,15.275086131240267,9.054112631084115,10+ km
139,18.6315737918882,12.879824239024332,10+ km
140,26.68406531947594,27.817334467500356,10+ km
141,9.56279478852792,13.739641854629467,5-10 km
142,14.595709669960762,18.925213862173166,10+ km
143,15.856359262578861,16.363903360631266,10+ km
144,12.583004324373054,19.059214448966337,10+ km
145,13.679374285379428,17.069250008146497,10+ km
146,8.501111123120348,16.304282143087335,5-10 km
147,11.950844885556464,16.998383115162905,10+ km
148,12.952093407772354,17.3062830786832,10+ km
149,24.034732262900967,23.403379040180226,10+ km
150,22.82979424801469,21.98887104850501,10+ km
151,13.456035575348416,14.011668531816122,10+ km
152,7.3303420455572414,11.706769913977595,5-10 km
153,4.61061061995766,11.091314561809087,3-5 km
154,21.151929200648553,14.886102654360375,10+ km
155,6.892848513938101,5.256194542258751,5-10 km
156,0.9848648079787946,4.2051093584123995,0-1 km
157,2.566076600713399,6.290050858336441,1-3 km
158,1.499453438537993,4.973890665242217,1-3 km
159,1.0005149319804731,1.7927626532439347,1-3 km
160,0.7989980496647676,2.4440001631058403,0-1 km
161,4.238011482287194,3.930016490896928,3-5 km
162,6.07459666955193,5.454085814884634,5-10 km
163,6.569223664125857,6.783146009731375,5-10 km
164,5.794921554998688,7.162391155516747,5-10 km
165,5.18372869354362,6.076671015540433,5-10 km
166,1.4817439847485414,2.5852620994662696,1-3 km
167,1.2269837029948836,1.0016063190801197,1-3 km
168,0.15808534747462413,2.069194388289324,0-1 km
169,3.702708487399281,2.638665310910933,3-5 km
170,2.1257113477001734,5.1381323025235535,1-3 km
171,4.799388018570403,7.581139344519812,3-5 km
172,3.3322734267573026,5.151340613658869,3-5 km
173,3.972915450831464,6.439161310910987,3-5 km
174,3.9755300687078017,7.189786389729667,3-5 km
175,3.338548969479573,6.882251739491928,3-5 km
176,3.328474418520195,3.4155983510384793,3-5 km
177,12.417747558706987,6.084475422233176,10+ km
178,13.243431701909103,6.925355056452056,10+ km
179,13.949063601308872,7.614640852713816,10+ km
180,5.513969659010656,9.178786743077287,5-10 km
181,2.846867201696253,6.160686777072908,1-3 km
182,6.21819367060805,8.746231171870154,5-10 km
183,5.67400590839298,8.929031376048368,5-10 km
184,4.9838061781430065,8.435833611749837,3-5 km
185,8.123570627716617,6.563227472847117,5-10 km
186,16.039459762678494,10.596238041610107,10+ km
187,15.902866739971214,10.745658698933633,10+ km
188,18.735266481561755,12.502352114414679,10+ km
189,16.50505210328862,12.305814754342313,10+ km
