grid_id,priority_category,monitoring_priority_score,centroid_lon,centroid_lat,cell_area_sq_km,h2s_proximity_score,river_proximity_score,impacted_beach_proximity_score,top_closure_beach_proximity_score,beach_closure_intensity_score,h2s_severity_score,dist_to_nearest_h2s_station_km,dist_to_tijuana_river_km,dist_to_nearest_impacted_beach_km,dist_to_nearest_top_closure_beach_km,nearby_beach_closure_intensity_5km,nearby_h2s_max_ppb_intensity_5km,nearby_h2s_orange_event_intensity_5km
grid_0222,High,0.7416044301809983,-117.1383000561355,32.59491421292483,1.0,0.7369532297412571,0.0,0.8864468303536186,0.8864468303536186,1.0,0.9397796906374962,2.6304677025874286,33.984309315562,1.1355316964638145,1.1355316964638145,1378.6539993138588,25.97847455066467,0.3020818346336862
grid_0180,High,0.740798359068185,-117.10673377436794,32.585064379655,1.0,0.9399122462286823,0.0,0.7524389540902143,0.7524389540902143,1.0,1.0,0.6008775377131766,30.943978174635145,2.475610459097857,2.475610459097857,1063.982022540137,224.0853710572601,4.725195784925227
grid_0136,High,0.7323924930331703,-117.1070582021046,32.57603669458908,1.0,0.8894660099350401,0.0,0.7524444741319912,0.7524444741319912,1.0,1.0,1.105339900649599,30.930726889157246,2.475555258680088,2.475555258680088,1273.0726715549667,225.9644630341841,4.836352563459614
grid_0061,High,0.7281965420393038,-117.11833226677064,32.558255953561655,1.0,0.7042033763354161,0.0,0.8324879379502038,0.8324879379502038,1.0,1.0,2.957966236645839,31.998925275670203,1.6751206204979618,1.6751206204979618,1950.945336632182,103.18909639891359,2.1737545196068386
grid_0225,High,0.7238304915804277,-117.1064092738801,32.594091943521335,1.0,0.8775119869257226,0.0,0.732735481278422,0.732735481278422,1.0,1.0,1.224880130742774,30.989509590391346,2.67264518721578,2.67264518721578,785.5843721857831,185.90585697667538,3.9035345627318687
grid_0269,High,0.72290003940182,-117.1273475316369,32.60366863257624,1.0,0.7499541071357756,0.0,0.7937230646375724,0.7937230646375724,1.0,1.0,2.5004589286422436,33.05891721410191,2.062769353624277,2.062769353624277,1012.0222514391379,50.89108409651334,0.8748495075384283
grid_0095,High,0.718680201665013,-117.10738255711453,32.567008888134616,1.0,0.7979480567624285,0.0,0.7570665766138249,0.7570665766138249,1.0,1.0,2.020519432375715,30.949797196604923,2.4293342338617503,2.4293342338617503,1465.7600567003149,191.9814982517544,4.152543899833816
grid_0035,High,0.7153826987735993,-117.11865528682033,32.549227876629764,1.0,0.6049014459938311,0.0,0.8436973733238826,0.8436973733238826,1.0,1.0,3.9509855400616893,32.07976464092691,1.5630262667611732,1.5630262667611732,1777.995287141008,53.20379529426105,1.1212857315786091
grid_0270,High,0.7151500202930978,-117.11671607986,32.60339451567941,1.0,0.7891457409977767,0.0,0.7508771903804055,0.7508771903804055,1.0,1.0,2.1085425900222337,32.062919637818865,2.491228096195946,2.491228096195946,784.5400521561905,97.40835526029089,1.9246216521931818
grid_0137,High,0.7071790723218667,-117.09643046752403,32.575760634731026,1.0,0.9375922293671183,0.0,0.6527411022820415,0.6527411022820415,1.0,1.0,0.6240777063288176,29.93073126777932,3.472588977179585,3.472588977179585,726.8439552921164,276.29218886227613,6.126291211139655
grid_0018,High,0.7044659246122981,-117.10844490434512,32.54007017185969,0.9673492699645686,0.5388042051530072,0.0,0.8439956712603909,0.8439956712603909,1.0,1.0,4.611957948469928,31.206623055431997,1.5600432873960919,1.5600432873960919,1148.6706560986668,23.222480387575217,0.5432588721421008
grid_0181,High,0.7041340354098925,-117.09610484943293,32.584788292528735,1.0,0.9199257030268464,0.0,0.6524392547162545,0.6524392547162545,1.0,1.0,0.8007429697315361,29.944425083889715,3.475607452837455,3.475607452837455,615.2242700188165,267.24130341386694,5.878959842375849
grid_0036,High,0.7017507364255477,-117.10803104905193,32.54895291030358,1.0,0.6307669402845086,0.0,0.7898687391343892,0.7898687391343892,1.0,1.0,3.692330597154914,31.08456381790891,2.1013126086561082,2.1013126086561082,1350.122358316642,83.02658584021253,1.830737163983121
