station_id,station_name,station_name_clean,beach_name,beach_name_clean,study_group,impact_level,station_lat,station_lon,active_advisory_record_days,active_closure_record_days,active_posting_record_days,active_bacteria_related_record_days,active_tijuana_river_related_record_days,active_sewage_infrastructure_record_days,active_sewage_related_record_days
506,MB-120,MB-120,"Mission Bay, Fanuel Park","Mission Bay, Fanuel Park",Comparison Beaches,1,32.7908,-117.2443,143,0,143,143,0,0,0
509,MB-131,MB-131,"Mission Bay, Sail Bay","Mission Bay, Sail Bay",Comparison Beaches,1,32.7832,-117.251,31,0,31,31,0,0,0
518,MB-170,MB-170,"Mission Bay, Mariners Basin","Mission Bay, Mariners Basin",Comparison Beaches,1,32.7692,-117.2489,83,0,83,83,0,0,0
526,MB-203,MB-203,"Mission Bay, Vacation Isle","Mission Bay, Vacation Isle",Comparison Beaches,1,32.7741,-117.2327,11,0,11,11,0,0,0
527,MB-223,MB-223,"Mission Bay, Ventura Cove","Mission Bay, Ventura Cove",Comparison Beaches,1,32.77088,-117.24468,79,0,79,79,0,0,0
554,Northern_SanDiego_County_Beaches,Northern_SanDiego_County_Beaches,north county beaches,north county beaches,Comparison Beaches,1,33.3869,117.596,4,0,0,0,0,0,0
581,OC-010,OC-010,"Oceanside municipal beach, other","Oceanside municipal beach, other",Other San Diego Beaches,1,33.165614,-117.359991,6,0,6,6,0,0,0
582,OC-020,OC-020,"Oceanside municipal beach, other","Oceanside municipal beach, other",Other San Diego Beaches,1,33.172928508,-117.366051164,5,0,5,5,0,0,0
583,OC-022,OC-022,Buccaneer Beach,Buccaneer Beach,Other San Diego Beaches,1,33.1765,-117.3696,35,0,35,35,0,0,0
583,OC-022,OC-022,Buccaneer Beach,Buccaneer Beach,Other San Diego Beaches,2,33.1765,-117.3696,6,6,0,0,0,6,6
586,OC-040,OC-040,"Oceanside municipal beach, other","Oceanside municipal beach, other",Other San Diego Beaches,1,33.182386087,-117.374571149,6,0,6,6,0,0,0
587,OC-050,OC-050,"Oceanside municipal beach, other","Oceanside municipal beach, other",Other San Diego Beaches,1,33.190325855,-117.381868469,2,0,2,2,0,0,0
587,OC-050,OC-050,"Oceanside municipal beach, other","Oceanside municipal beach, other",Other San Diego Beaches,2,33.190325855,-117.381868469,3,3,0,3,0,0,0
588,OC-080,OC-080,"Oceanside municipal beach, other","Oceanside municipal beach, other",Other San Diego Beaches,1,33.1937,-117.3843,8,0,8,8,0,0,0
588,OC-080,OC-080,"Oceanside municipal beach, other","Oceanside municipal beach, other",Other San Diego Beaches,2,33.1937,-117.3843,3,3,0,3,0,0,0
589,OC-090,OC-090,"Oceanside municipal beach, other","Oceanside municipal beach, other",Other San Diego Beaches,1,33.1966,-117.3869,26,0,26,26,0,0,0
589,OC-090,OC-090,"Oceanside municipal beach, other","Oceanside municipal beach, other",Other San Diego Beaches,2,33.1966,-117.3869,3,3,0,3,0,0,0
590,OC-100,OC-100,Harbor Beach,Harbor Beach,Other San Diego Beaches,1,33.201559515,-117.392202744,261,0,261,261,0,0,0
591,OC-110,OC-110,Harbor Beach,Harbor Beach,Other San Diego Beaches,1,33.2044,-117.3941,29,0,29,29,0,0,0
639,PL-050,PL-050,non-accessible or restricted access shoreline on Pt. Loma,non-accessible or restricted access shoreline on Pt. Loma,Other San Diego Beaches,1,32.680475616,-117.2488,2,0,2,2,0,0,0
639,PL-050,PL-050,non-accessible or restricted access shoreline on Pt. Loma,non-accessible or restricted access shoreline on Pt. Loma,Other San Diego Beaches,2,32.680475616,-117.2488,3,3,0,0,0,3,3
641,PL-070,PL-070,Sunset Cliffs Park,Sunset Cliffs Park,Other San Diego Beaches,1,32.719325627,-117.256944364,4,0,4,4,0,0,0
643,PL-090,PL-090,Ocean Beach,Ocean Beach,Comparison Beaches,1,32.746736106,-117.254942461,2,0,2,2,0,0,0
644,PL-100,PL-100,Ocean Beach,Ocean Beach,Comparison Beaches,1,32.7491121,-117.253271417,4,0,4,4,0,0,0
645,PL-110,PL-110,Ocean Beach,Ocean Beach,Comparison Beaches,1,32.753911912,-117.25301431,5,0,5,5,0,0,0
707,SE-050,SE-050,Cardiff State Beach,Cardiff State Beach,Other San Diego Beaches,1,33.0118911,-117.2803,47,0,47,47,0,47,47
708,SE-060,SE-060,Cardiff State Beach,Cardiff State Beach,Other San Diego Beaches,1,33.0157,-117.281912465,167,0,167,166,0,0,0
779,MB-205,MB-205,"Mission Bay, Vacation Isle","Mission Bay, Vacation Isle",Comparison Beaches,1,32.77605,-117.2382,424,0,424,424,0,0,0
815,SI-010,SI-010,La Jolla Shores Beach,La Jolla Shores Beach,Comparison Beaches,1,32.86353,-117.25508,5,0,5,5,0,0,0
815,SI-010,SI-010,La Jolla Shores Beach,La Jolla Shores Beach,Comparison Beaches,2,32.86353,-117.25508,2,2,0,0,0,2,2
816,SI-020,SI-020,La Jolla Shores Beach,La Jolla Shores Beach,Comparison Beaches,1,32.86548,-117.2546,2,0,2,2,0,0,0
817,SI-030,SI-030,La Jolla Shores Beach,La Jolla Shores Beach,Comparison Beaches,1,32.86768,-117.25413,6,0,6,6,0,0,0
