datetime_local,datetime_utc,date,year,month,hour,location_clean,target_lat,target_lon,h2s_ppb,h2s_level_clean,valid_h2s_record,elevated_h2s_event,h2s_ge_10_event,orange_h2s_event,temperature_2m_f,dewpoint_2m_f,wind_speed_10m_mph,wind_direction_10m,wind_gust_10m_mph,visibility_surface_miles,temperature_2m,dewpoint_2m,wind_u_10m,wind_v_10m,wind_speed_10m,wind_gust_10m,visibility_surface,nighttime_flag,analysis_period,rtma_match_subset_definition,temperature_2m_units,temperature_2m_grid_lat,temperature_2m_grid_lon,dewpoint_2m_units,dewpoint_2m_grid_lat,dewpoint_2m_grid_lon,wind_u_10m_units,wind_u_10m_grid_lat,wind_u_10m_grid_lon,wind_v_10m_units,wind_v_10m_grid_lat,wind_v_10m_grid_lon,wind_direction_10m_units,wind_direction_10m_grid_lat,wind_direction_10m_grid_lon,wind_speed_10m_units,wind_speed_10m_grid_lat,wind_speed_10m_grid_lon,wind_gust_10m_units,wind_gust_10m_grid_lat,wind_gust_10m_grid_lon,visibility_surface_units,visibility_surface_grid_lat,visibility_surface_grid_lon,visibility_surface_km,time,datetime_utc_original,h2s_level,exceedance_30ppb,exceedance_200ppb
2024-12-07 22:00:00,2024-12-08 06:00:00,2024-12-07,2024,2024-12,22,NESTOR - BES,32.579,-117.091,12.9,Yellow (5-29.9 ppB),True,True,True,False,56.31800659179692,42.87200439453129,4.585726893334389,221.6000061035156,4.585726893334389,9.93264319534716,13.510003662109398,6.040002441406273,1.590000033378601,1.2899999618530271,2.049999952316284,2.049999952316284,15985.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,15.985,10:00:00 PM,2024-12-08 06:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 22:00:00,2024-12-08 06:00:00,2024-12-07,2024,2024-12,22,SAN YSIDRO,32.552,-117.0431,26.8,Yellow (5-29.9 ppB),True,True,True,False,57.84801757812504,29.227973632812542,2.1027235946667195,70.5,2.1027235946667195,9.921458486087465,14.360009765625025,-1.5400146484374773,-0.9200000166893004,-0.1700000017881393,0.9399999976158142,0.9399999976158142,15967.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.550774662526784,-117.03813970343958,C,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,Degree true,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m,32.550774662526784,-117.03813970343958,15.967,10:00:00 PM,2024-12-08 06:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 23:00:00,2024-12-08 07:00:00,2024-12-07,2024,2024-12,23,NESTOR - BES,32.579,-117.091,29.8,Yellow (5-29.9 ppB),True,True,True,False,55.07600219726567,40.42397583007816,4.608096272001267,223.6999969482422,5.167331272001267,9.351038313842942,12.820001220703148,4.679986572265648,1.6399999856948853,1.2400000095367432,2.059999942779541,2.309999942779541,15049.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,15.049,11:00:00 PM,2024-12-08 07:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 23:00:00,2024-12-08 07:00:00,2024-12-07,2024,2024-12,23,SAN YSIDRO,32.552,-117.0431,29.2,Yellow (5-29.9 ppB),True,True,True,False,56.35398681640629,26.76198242187504,4.585726893334389,74.9000015258789,5.860782544002533,9.670423900480944,13.529992675781273,-2.9100097656249773,-2.039999961853028,-0.209999993443489,2.049999952316284,2.619999885559082,15563.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.550774662526784,-117.03813970343958,C,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,Degree true,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m,32.550774662526784,-117.03813970343958,15.563,11:00:00 PM,2024-12-08 07:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-16 18:00:00,2024-12-17 02:00:00,2024-12-16,2024,2024-12,18,NESTOR - BES,32.579,-117.091,11.9,Yellow (5-29.9 ppB),True,True,True,False,57.34401977539066,53.13202636718754,3.6685815680003167,320.1000061035156,4.406771863999367,8.733393813613034,14.080010986328148,11.740014648437525,0.8299999833106995,-1.409999966621399,1.6399999856948853,1.9700000286102293,14055.0,0,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,14.055,6:00:00 PM,2024-12-17 02:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-16 19:00:00,2024-12-17 03:00:00,2024-12-16,2024,2024-12,19,NESTOR - BES,32.579,-117.091,12.2,Yellow (5-29.9 ppB),True,True,True,False,55.92200439453129,52.89801757812504,1.3421640533328056,330.1000061035156,5.167331272001267,8.893086606932036,13.290002441406273,11.610009765625025,0.209999993443489,-0.5600000023841858,0.6000000238418579,2.309999942779541,14312.0,0,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,14.312,7:00:00 PM,2024-12-17 03:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-16 20:00:00,2024-12-17 04:00:00,2024-12-16,2024,2024-12,20,NESTOR - BES,32.579,-117.091,12.9,Yellow (5-29.9 ppB),True,True,True,False,55.18399780273442,51.78202636718754,2.3711562720012664,318.70001220703125,3.1317159466671947,9.941963786396908,12.879998779296898,10.990014648437525,0.5600000023841858,-0.8999999761581421,1.059999942779541,1.399999976158142,16000.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,16.0,8:00:00 PM,2024-12-17 04:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-25 18:00:00,2024-12-26 02:00:00,2024-12-25,2024,2024-12,18,NESTOR - BES,32.579,-117.091,10.1,Yellow (5-29.9 ppB),True,True,True,False,55.99401977539067,51.99801757812504,2.997499674665928,311.8999938964844,5.301547544002533,9.621956827022258,13.330010986328148,11.110009765625025,0.8399999737739563,-1.0399999618530271,1.340000033378601,2.369999885559082,15485.0,0,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,15.485,6:00:00 PM,2024-12-26 02:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-25 20:00:00,2024-12-26 04:00:00,2024-12-25,2024,2024-12,20,NESTOR - BES,32.579,-117.091,26.5,Yellow (5-29.9 ppB),True,True,True,False,55.16598022460941,53.14998901367191,3.780428727998734,206.8000030517578,4.585726893334389,9.941963786396908,12.869989013671898,11.749993896484398,1.0,1.3700000047683716,1.690000057220459,2.049999952316284,16000.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,16.0,8:00:00 PM,2024-12-26 04:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-25 21:00:00,2024-12-26 05:00:00,2024-12-25,2024,2024-12,21,NESTOR - BES,32.579,-117.091,16.7,Yellow (5-29.9 ppB),True,True,True,False,53.833997802734416,51.27797363281254,1.6553356213331225,105.5,3.780428727998734,9.340474977319897,12.129998779296898,10.709985351562525,-0.6800000071525574,0.3100000023841858,0.7400000095367432,1.690000057220459,15032.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,15.032,9:00:00 PM,2024-12-26 05:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-26 03:00:00,2024-12-26 11:00:00,2024-12-26,2024,2024-12,3,NESTOR - BES,32.579,-117.091,11.2,Yellow (5-29.9 ppB),True,True,True,False,49.99998901367192,47.11997802734379,3.690950946667195,88.9000015258789,6.777928136000634,8.735257931822984,9.999993896484398,8.399987792968773,-1.6299999952316284,0.2399999946355819,1.649999976158142,3.0299999713897705,14058.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,14.058,3:00:00 AM,2024-12-26 11:00:00+00:00,Yellow (5-29.9 ppB),0,0
2025-01-16 06:00:00,2025-01-16 14:00:00,2025-01-16,2025,2025-01,6,IB CIVIC CTR,32.5846,-117.1131,12.4,Yellow (5-29.9 ppB),True,True,True,False,45.03202636718754,20.67797363281254,5.435764349331856,112.5,7.963506272001267,7.7416829259199424,7.240014648437523,-6.290014648437477,-2.059999942779541,1.2799999713897705,2.430000066757202,3.559999942779541,12459.0,1,Recent follow-up,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58443565148247,-117.1263633429229,C,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,Degree true,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,m,32.58443565148247,-117.1263633429229,12.459,6:00:00 AM,2025-01-16 14:00:00+00:00,Yellow (5-29.9 ppB),0,0
2025-01-16 07:00:00,2025-01-16 15:00:00,2025-01-16,2025,2025-01,7,IB CIVIC CTR,32.5846,-117.1131,13.4,Yellow (5-29.9 ppB),True,True,True,False,44.31198242187504,23.43202636718754,6.733189378666879,119.8000030517578,7.985875650668145,9.8083686480172,6.839990234375023,-4.759985351562477,-2.3299999237060547,1.899999976158142,3.009999990463257,3.569999933242798,15785.0,1,Recent follow-up,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58443565148247,-117.1263633429229,C,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,Degree true,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,m,32.58443565148247,-117.1263633429229,15.785,7:00:00 AM,2025-01-16 15:00:00+00:00,Yellow (5-29.9 ppB),0,0
2025-01-31 22:00:00,2025-02-01 06:00:00,2025-01-31,2025,2025-01,22,NESTOR - BES,32.579,-117.091,10.4,Yellow (5-29.9 ppB),True,True,True,False,51.89002197265629,47.89401977539067,1.9013990533328056,10.300000190734863,6.845036272001267,9.10311059191967,11.050012207031273,8.830010986328148,-0.2899999916553497,-0.800000011920929,0.8500000238418579,3.059999942779541,14650.0,1,Recent follow-up,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,14.65,10:00:00 PM,2025-02-01 06:00:00+00:00,Yellow (5-29.9 ppB),0,0
2025-05-18 04:00:00,2025-05-18 11:00:00,2025-05-18,2025,2025-05,4,NESTOR - BES,32.579,-117.091,10.5,Yellow (5-29.9 ppB),True,True,True,False,59.07200439453129,55.59801757812504,7.874028757333756,255.3000030517578,8.970129911994935,9.869884548945532,15.040002441406273,13.110009765625025,3.5,0.3300000131130218,3.5199999809265137,4.010000228881836,15884.0,1,Recent follow-up,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,15.884,4:00:00 AM,2025-05-18 11:00:00+00:00,Yellow (5-29.9 ppB),0,0
2025-05-20 00:00:00,2025-05-20 07:00:00,2025-05-20,2025,2025-05,0,IB CIVIC CTR,32.5846,-117.1131,27.9,Yellow (5-29.9 ppB),True,True,True,False,61.069978027343794,57.38000000000004,1.9908765680003169,164.0,1.9908765680003169,8.660071830688358,16.149987792968773,14.100000000000025,-0.1000000014901161,0.8899999856948853,0.8899999856948853,0.8899999856948853,13937.0,1,Recent follow-up,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58443565148247,-117.1263633429229,C,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,Degree true,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,m s**-1,32.58443565148247,-117.1263633429229,m,32.58443565148247,-117.1263633429229,13.937,12:00:00 AM,2025-05-20 07:00:00+00:00,Yellow (5-29.9 ppB),0,0
2025-05-20 00:00:00,2025-05-20 07:00:00,2025-05-20,2025,2025-05,0,NESTOR - BES,32.579,-117.091,130.3,Orange (30+ ppB),True,True,True,True,61.16001098632817,57.95601318359379,2.1027235946667195,165.1999969482422,2.2145706213331224,8.894329352405334,16.200006103515648,14.420007324218773,-0.0900000035762786,0.9399999976158142,0.9399999976158142,0.9900000095367432,14314.0,1,Recent follow-up,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,14.314,12:00:00 AM,2025-05-20 07:00:00+00:00,Orange (30+ ppB),1,0
