datetime_local,date,year,month,hour,station_name_clean,location_clean,h2s_ppb,h2s_level_clean,elevated_h2s_event,orange_h2s_event,valid_h2s_record,h2s_ppb_original,h2s_ppb_clean,h2s_level,exceedance_30ppb,exceedance_200ppb,nighttime_flag,analysis_period,review_status,negative_value_flag,missing_h2s_flag,source,source_note,notes
2024-09-26 13:00:00,2024-09-26,2024,2024-09,13,San Ysidro - Fire Station #29,SAN YSIDRO,0.2,Green (0-4.9 ppB),False,False,True,0.2,0.2,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-09-26 14:00:00,2024-09-26,2024,2024-09,14,San Ysidro - Fire Station #29,SAN YSIDRO,0.1,Green (0-4.9 ppB),False,False,True,0.1,0.1,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 06:00:00,2024-10-12,2024,2024-10,6,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-1.2,,Missing/Not visible,0,0,1,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 06:00:00,2024-10-12,2024,2024-10,6,San Ysidro - Fire Station #29,SAN YSIDRO,3.4,Green (0-4.9 ppB),False,False,True,3.4,3.4,Green (0-4.9 ppB),0,0,1,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 07:00:00,2024-10-12,2024,2024-10,7,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-1.7,,Missing/Not visible,0,0,1,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 07:00:00,2024-10-12,2024,2024-10,7,San Ysidro - Fire Station #29,SAN YSIDRO,6.5,Yellow (5-29.9 ppB),True,False,True,6.5,6.5,Yellow (5-29.9 ppB),0,0,1,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 08:00:00,2024-10-12,2024,2024-10,8,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-1.2,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 08:00:00,2024-10-12,2024,2024-10,8,San Ysidro - Fire Station #29,SAN YSIDRO,1.4,Green (0-4.9 ppB),False,False,True,1.4,1.4,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 09:00:00,2024-10-12,2024,2024-10,9,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-0.8,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 09:00:00,2024-10-12,2024,2024-10,9,San Ysidro - Fire Station #29,SAN YSIDRO,1.0,Green (0-4.9 ppB),False,False,True,1.0,1.0,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 10:00:00,2024-10-12,2024,2024-10,10,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-0.7,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
